Date,High,Low,Volume,Close,Open,5SMA,30SMA,200SMA,CornClose,OilPrices,Volatility,MACD,adjUSDollarIndex,AvgTrueRange,DiscreteProfit
1/18/2013,1485.97998,1475.810059,3795740000,1485.97998,1480.949951,1476.513989,1443.832662,1394.449848,2.39,22.77,12.46,7.32,80.309998,10.169921,1
1/22/2013,1492.560059,1481.160034,3570950000,1492.560059,1485.97998,1480.88999,1446.453333,1394.845748,2.39,22.92,12.43,7.19,80.110001,10.784973,1
1/23/2013,1496.130005,1489.900024,3552010000,1494.810059,1492.560059,1485.384009,1449.011336,1395.324999,2.39,22.66,12.46,8.7,80.089996,9.266642333,1
1/24/2013,1502.27002,1489.459961,3699430000,1494.819946,1494.810059,1489.821997,1451.553666,1395.808699,2.39,22.77,12.69,2.75,80.459999,10.1524965,1
1/25/2013,1503.26001,1494.819946,3476290000,1502.959961,1494.819946,1494.226001,1454.057666,1396.412499,2.37,22.780001,12.89,6.59,80.580002,9.81001,0
1/28/2013,1503.22998,1496.329956,3388540000,1500.180054,1502.959961,1497.066016,1456.447668,1397.120449,2.38,22.879999,13.57,0.43,80.470001,9.325012333,1
1/29/2013,1509.349976,1498.089966,3949640000,1507.839966,1500.180054,1500.121997,1459.394002,1397.816099,2.4,23.120001,13.31,6.68,81.089996,9.601440571,0
1/30/2013,1509.939941,1500.109985,3726810000,1501.959961,1507.839966,1501.551978,1462.340002,1398.388049,2.42,23.290001,14.32,10.9,81.459999,9.630005,0
1/31/2013,1504.189941,1496.76001,3999880000,1498.109985,1501.959961,1502.209985,1464.598336,1399.027299,2.43,23.129999,14.38,-1.42,81.480003,9.385552333,1
2/1/2013,1514.410034,1498.109985,3836320000,1513.170044,1498.109985,1504.252002,1466.811003,1399.7453,2.44,23.18,12.9,15.9,81.669998,10.077002,0
2/4/2013,1513.170044,1495.02002,3390000000,1495.709961,1513.170044,1503.357983,1468.807666,1400.269949,2.43,22.780001,14.67,2.72,81.870003,10.81091309,1
2/5/2013,1514.959961,1495.709961,3618360000,1511.290039,1495.709961,1504.047998,1471.061003,1400.900699,2.41,22.950001,13.72,3.92,81.599998,11.51417033,1
2/6/2013,1512.530029,1504.709961,3611570000,1512.119995,1511.290039,1506.080005,1473.793335,1401.576699,2.38,22.969999,13.41,7.24,81.980003,11.23000862,0
2/7/2013,1512.900024,1498.48999,3614580000,1509.390015,1512.119995,1508.336011,1476.551001,1402.230999,2.36,22.73,13.5,0.39,82.309998,11.45715329,1
2/8/2013,1518.310059,1509.390015,2986150000,1517.930054,1509.390015,1509.288013,1479.821004,1402.98595,2.34,22.700001,13.02,2.11,82.220001,11.36787636,0
2/11/2013,1518.310059,1513.609985,2684100000,1517.01001,1517.930054,1513.548023,1483.118005,1403.71115,2.32,23.02,12.94,0.17,82.089996,10.88930843,1
2/12/2013,1522.290039,1515.609985,3414370000,1519.430054,1517.01001,1515.176026,1487.018005,1404.35485,2.3,23.129999,12.64,-0.4,82.459999,10.9214565,1
2/13/2013,1524.689941,1515.930054,3385880000,1520.329956,1519.430054,1516.818018,1490.156006,1404.9566,2.27,23.07,12.98,-1.36,82.080002,10.6321585,1
2/14/2013,1523.140015,1514.02002,3759740000,1521.380005,1520.329956,1519.216016,1492.121338,1405.5467,2.28,23.120001,12.66,-0.04,82.699997,10.680725,0
2/15/2013,1524.23999,1514.140015,3838510000,1519.790039,1521.380005,1519.588013,1494.135339,1406.1561,2.3,22.73,12.46,-10.52,82.57,10.90929293,1
2/19/2013,1530.939941,1519.790039,3748910000,1530.939941,1519.790039,1522.373999,1496.284338,1406.7817,2.29,22.91,12.31,6.2,82.580002,10.90142807,0
2/20/2013,1530.939941,1511.410034,4240570000,1511.949951,1530.939941,1520.877978,1497.953003,1407.3299,2.28,22.35,14.68,14.36,82.889999,11.59428171,0
2/21/2013,1511.949951,1497.290039,4274600000,1502.420044,1511.949951,1517.295996,1499.462004,1407.88415,2.27,21.83,15.22,3.87,82.610001,12.11070893,1
2/22/2013,1515.640015,1502.420044,3419320000,1515.599976,1502.420044,1516.13999,1501.281336,1408.61665,2.26,21.98,14.17,31.51,82.260002,11.89070336,0
2/25/2013,1525.839966,1487.849976,4011050000,1487.849976,1515.599976,1509.751978,1501.805668,1409.208,2.24,21.700001,18.99,26.21,82.690002,13.30784379,1
2/26/2013,1498.98999,1485.01001,3975280000,1496.939941,1487.849976,1502.951978,1502.635331,1409.8741,2.26,21.75,16.870001,14.19,82.989998,12.93141379,1
2/27/2013,1520.079956,1494.880005,3551850000,1515.98999,1496.939941,1503.759985,1504.145662,1410.681151,2.28,21.84,14.73,19.78,82.779999,14.172834,0
2/28/2013,1525.339966,1514.459961,3912320000,1514.680054,1515.98999,1506.211987,1505.556999,1411.464601,2.31,21.57,15.51,19.99,82.800003,13.92068907,1
3/1/2013,1519.98999,1501.47998,3695610000,1518.199951,1514.680054,1506.731982,1507.075997,1412.288651,2.31,21.35,15.36,17.48,82.529999,14.60568664,1
3/4/2013,1525.27002,1512.290039,3414430000,1525.199951,1518.199951,1514.201977,1508.551331,1413.2229,2.34,21.110001,14.01,7.81,82.870003,15.19710857,1
3/5/2013,1543.469971,1525.199951,3610690000,1539.790039,1525.199951,1522.771997,1510.344999,1414.26855,2.34,21.32,13.48,9.05,82.879997,16.02496329,1
3/6/2013,1545.25,1538.109985,3676890000,1541.459961,1539.790039,1527.865991,1511.974996,1415.35185,2.3,21.209999,13.53,8.26,83.209999,15.90925814,1
3/7/2013,1545.780029,1541.459961,3634710000,1544.26001,1541.459961,1533.781982,1513.623328,1416.54885,2.26,21.49,13.06,3.62,82.989998,15.56640621,1
3/8/2013,1552.47998,1542.939941,3652260000,1551.180054,1544.26001,1540.378003,1515.501998,1417.828651,2.28,21.57,12.59,0.27,82.730003,15.52641079,1
3/11/2013,1556.27002,1547.359985,3091080000,1556.219971,1551.150024,1546.582007,1517.277332,1419.0298,2.34,21.559999,11.56,4.25,82.940002,15.36642029,0
3/12/2013,1556.77002,1548.23999,3274910000,1552.47998,1556.219971,1549.119995,1519.020662,1420.20905,2.33,21.73,12.27,2.79,82.720001,14.58071479,1
3/13/2013,1556.390015,1548.25,3073830000,1554.52002,1552.47998,1551.732007,1520.576664,1421.38735,2.35,21.68,11.83,-4.58,82.68,14.11500786,1
3/14/2013,1563.319946,1554.52002,3459260000,1563.22998,1554.52002,1555.526001,1522.618998,1422.6001,2.35,21.83,11.3,-2.25,82.5,13.79929036,0
3/15/2013,1563.619995,1555.73999,5175850000,1560.699951,1563.209961,1557.42998,1524.70533,1423.8145,2.35,21.950001,11.3,5.07,82.75,11.64857714,0
3/18/2013,1560.699951,1545.130005,3164560000,1552.099976,1560.699951,1556.605981,1526.002995,1424.9129,2.35,21.98,13.36,8.66,82.309998,11.76214614,0
3/19/2013,1557.25,1538.569946,3796210000,1548.339966,1552.099976,1555.777979,1527.757328,1426.088,2.38,21.610001,14.39,0.28,82.529999,11.29643921,1
3/20/2013,1561.560059,1548.339966,3349090000,1558.709961,1548.339966,1556.615967,1529.337992,1427.3299,2.4,21.85,12.67,13.26,82.25,11.46358836,0
3/21/2013,1558.709961,1543.550049,3243270000,1545.800049,1558.709961,1553.129981,1530.460661,1428.6687,2.39,21.58,13.99,4.19,82.309998,11.22429564,1
3/22/2013,1557.73999,1545.900024,2948380000,1556.890015,1545.900024,1552.367993,1532.043994,1430.06225,2.38,21.950001,13.57,10.81,82.419998,11.15000707,0
3/25/2013,1564.910034,1546.219971,3178170000,1551.689941,1556.890015,1552.285986,1533.169324,1431.393199,2.38,22.120001,13.74,1.1,81.75,11.18001014,1
3/26/2013,1563.949951,1551.689941,2869260000,1563.77002,1551.689941,1555.371997,1534.727991,1432.6364,2.4,22.559999,12.77,3.29,82.660004,11.54572407,0
3/27/2013,1564.069946,1551.900024,2914210000,1562.849976,1563.75,1556.2,1536.175322,1433.875699,2.4,22.610001,13.15,-2.07,82.550003,12.10642793,1
3/28/2013,1570.280029,1561.079956,3304440000,1569.189941,1562.859985,1560.877979,1537.803988,1435.093349,2.32,22.77,12.7,4.65,82.709999,12.08214464,0
4/1/2013,1570.569946,1558.469971,2753110000,1562.170044,1569.180054,1561.933984,1539.163656,1436.359549,2.215,22.709999,13.58,-2.65,82.68,12.3099975,1
4/2/2013,1573.660034,1562.170044,3312160000,1570.25,1562.170044,1565.645996,1540.845654,1437.589899,2.11,22.76,12.76,12.96,83.029999,12.52142321,0
4/3/2013,1571.469971,1549.800049,4060610000,1553.689941,1570.25,1563.62998,1541.603988,1438.783948,2.11,22.139999,14.21,7.94,82.93,13.48784514,1
4/4/2013,1562.599976,1552.52002,3350670000,1559.97998,1553.689941,1563.055981,1543.204989,1439.938348,2.1,21.860001,13.89,16.17,82.739998,13.57927586,0
4/5/2013,1559.97998,1539.5,3515410000,1553.280029,1559.97998,1559.873999,1544.900321,1440.990549,2.07,21.780001,13.92,9.42,82.480003,14.47927407,1
4/8/2013,1563.069946,1548.630005,2887120000,1563.069946,1553.26001,1560.053979,1546.482654,1442.081998,2.08,21.92,13.19,6.92,82.150002,14.39855943,1
4/9/2013,1573.890015,1560.920044,3252780000,1568.609985,1563.109985,1559.725976,1549.174654,1443.135148,2.09,22.030001,12.84,-9,81.730003,13.99069636,1
4/10/2013,1589.069946,1568.609985,3453350000,1587.72998,1568.609985,1566.533984,1552.200989,1444.295349,2.11,22.15,12.36,-14.05,81.639999,14.50782979,1
4/11/2013,1597.349976,1586.170044,3393950000,1593.369995,1587.72998,1573.211987,1554.780322,1445.634648,2.15,21.879999,12.24,-11.89,82.209999,14.2235455,0
4/12/2013,1593.300049,1579.969971,3206290000,1588.849976,1593.300049,1580.325976,1557.252653,1446.903798,2.15,21.290001,12.06,19.31,82.099998,14.32783714,0
4/15/2013,1588.839966,1552.280029,4660130000,1552.359985,1588.839966,1578.183984,1558.391321,1448.096998,2.12,20.540001,17.27,-1.19,82.32,15.60497171,1
